Tanggal,Semua operator,No carrier,Reliance Jio,SK Telecom,Telkomsel,TracFone,AT&T,Boost Mobile,T-Mobile - US,Verizon Wireless,Catatan
1 Jan 2020,2,0,0,0,2,0,0,0,0,0,
2 Jan 2020,2,0,0,0,1,0,0,0,0,0,
3 Jan 2020,2,0,0,0,1,0,0,0,0,0,
4 Jan 2020,4,0,0,0,2,0,0,0,0,0,Peluncuran rilis: Peluncuran 2.1 dimulai pada 100%.
5 Jan 2020,4,0,0,0,2,0,0,0,0,0,
6 Jan 2020,4,0,0,0,2,0,0,0,0,0,
7 Jan 2020,4,0,0,0,2,0,0,0,0,0,
8 Jan 2020,6,0,0,0,2,0,0,0,0,0,
9 Jan 2020,6,0,0,0,2,0,0,0,0,0,
10 Jan 2020,7,0,0,0,2,0,0,0,0,0,
11 Jan 2020,7,0,2,0,2,0,0,0,0,0,
12 Jan 2020,5,0,0,0,2,0,0,0,0,0,
13 Jan 2020,5,0,0,0,2,0,0,0,0,0,
14 Jan 2020,5,0,0,0,2,0,0,0,0,0,
15 Jan 2020,5,0,0,0,2,0,0,0,0,0,
16 Jan 2020,5,0,0,0,2,0,0,0,0,0,
17 Jan 2020,5,0,0,0,2,0,0,0,0,0,
18 Jan 2020,4,0,0,0,2,0,0,0,0,0,
19 Jan 2020,4,0,0,0,2,0,0,0,0,0,
20 Jan 2020,4,0,0,0,2,0,0,0,0,0,
21 Jan 2020,7,0,0,1,3,0,0,0,0,0,
22 Jan 2020,5,0,0,1,2,0,0,0,0,0,
23 Jan 2020,6,1,0,1,2,0,0,0,0,0,
24 Jan 2020,6,1,0,1,2,0,0,0,0,0,
25 Jan 2020,6,1,0,1,2,0,0,0,0,0,
26 Jan 2020,8,1,0,1,2,0,0,0,0,0,
27 Jan 2020,7,1,0,1,2,0,0,0,0,0,
28 Jan 2020,7,1,0,1,2,0,0,0,0,0,
29 Jan 2020,7,1,0,1,3,0,0,0,0,0,
30 Jan 2020,6,1,0,1,2,0,0,0,0,0,
31 Jan 2020,6,1,0,1,2,0,0,0,0,0,
1 Feb 2020,6,1,0,1,2,0,0,0,0,0,
2 Feb 2020,6,1,0,1,2,0,0,0,0,0,
3 Feb 2020,7,1,0,1,2,0,0,0,0,0,
4 Feb 2020,8,1,0,1,2,0,0,0,0,1,
5 Feb 2020,8,1,0,1,2,0,0,0,0,1,
6 Feb 2020,9,1,0,1,2,0,0,0,0,1,
7 Feb 2020,8,1,0,1,2,0,0,0,0,1,
8 Feb 2020,9,1,1,1,2,0,0,0,0,1,
9 Feb 2020,9,1,1,1,2,0,0,0,0,1,
10 Feb 2020,9,1,1,1,2,0,0,0,0,1,
11 Feb 2020,11,2,1,1,2,0,0,0,0,1,
12 Feb 2020,10,1,1,1,2,0,0,0,0,1,
13 Feb 2020,12,1,1,2,2,0,0,0,0,1,
14 Feb 2020,13,1,1,2,2,0,0,0,0,1,
15 Feb 2020,13,1,1,2,2,0,0,0,0,1,
16 Feb 2020,15,1,2,2,2,0,0,0,0,1,
17 Feb 2020,13,1,1,1,2,0,0,0,0,1,
18 Feb 2020,12,1,1,1,2,0,0,0,0,2,
19 Feb 2020,11,1,1,1,2,0,0,0,0,1,
20 Feb 2020,13,2,1,1,2,0,0,0,0,1,
21 Feb 2020,13,2,1,1,2,0,0,0,0,1,
22 Feb 2020,13,2,1,1,2,0,0,0,0,1,
23 Feb 2020,14,1,0,1,2,0,0,0,1,2,
24 Feb 2020,10,1,0,1,2,0,0,0,1,1,
25 Feb 2020,11,1,0,1,2,0,0,0,0,2,
26 Feb 2020,10,1,0,1,2,0,0,0,0,1,
27 Feb 2020,9,1,0,1,2,0,0,0,0,1,
28 Feb 2020,12,3,0,1,2,0,0,0,0,1,
29 Feb 2020,12,2,0,1,3,0,0,0,0,1,
1 Mar 2020,12,3,0,1,2,0,0,0,0,1,
2 Mar 2020,13,3,0,1,2,0,0,0,0,1,
3 Mar 2020,13,4,0,1,2,0,0,0,0,1,
4 Mar 2020,13,4,0,1,2,0,0,0,0,1,
5 Mar 2020,13,4,0,1,2,0,0,0,0,1,
6 Mar 2020,14,4,0,1,2,0,0,0,0,1,
7 Mar 2020,14,5,0,1,2,0,0,0,0,1,
8 Mar 2020,13,4,0,1,2,0,0,0,0,1,
9 Mar 2020,14,4,0,1,2,0,0,0,0,1,
10 Mar 2020,14,4,0,1,3,0,0,0,0,1,
11 Mar 2020,15,2,0,1,2,0,1,0,0,1,
12 Mar 2020,17,2,0,1,3,0,1,0,0,1,
13 Mar 2020,18,4,1,2,2,0,0,0,0,1,
14 Mar 2020,17,4,1,1,2,0,0,0,0,1,
15 Mar 2020,17,5,0,1,2,0,0,0,0,1,
16 Mar 2020,17,7,0,1,2,0,0,0,0,1,
17 Mar 2020,18,6,0,1,2,0,0,0,0,1,
18 Mar 2020,15,4,0,1,2,0,0,0,0,1,
19 Mar 2020,18,5,0,1,3,0,0,0,0,1,
20 Mar 2020,17,4,0,1,3,0,0,0,0,1,
21 Mar 2020,16,4,0,1,3,0,0,0,0,1,
22 Mar 2020,20,4,1,1,5,0,0,0,0,1,
23 Mar 2020,23,5,2,1,5,0,0,0,0,2,
24 Mar 2020,22,4,3,1,5,0,0,0,0,1,
25 Mar 2020,23,4,2,1,5,0,0,0,0,2,
26 Mar 2020,21,5,2,1,5,0,0,0,0,1,
27 Mar 2020,23,5,2,1,5,0,0,0,0,2,
28 Mar 2020,26,7,2,1,5,0,0,0,0,2,
29 Mar 2020,25,6,3,1,5,0,0,0,0,2,
30 Mar 2020,29,8,1,1,5,0,1,0,0,2,
31 Mar 2020,27,6,1,1,6,0,1,0,0,2,
1 Apr 2020,26,4,0,1,6,0,1,0,0,2,
2 Apr 2020,24,4,0,1,6,0,1,0,0,2,
3 Apr 2020,26,6,0,1,5,0,1,0,0,2,
4 Apr 2020,24,4,0,1,6,0,1,0,0,2,
5 Apr 2020,23,4,0,1,5,0,1,0,0,2,
6 Apr 2020,23,4,0,1,5,0,0,0,0,2,
7 Apr 2020,21,4,0,1,4,0,0,0,0,2,
8 Apr 2020,23,5,0,1,4,0,0,0,0,2,
9 Apr 2020,24,5,0,1,5,0,0,0,0,2,
10 Apr 2020,24,4,0,2,4,0,0,0,0,2,
11 Apr 2020,24,4,0,2,3,0,0,0,0,2,
12 Apr 2020,26,4,0,2,3,0,0,0,0,2,
13 Apr 2020,26,3,0,2,3,0,0,0,2,2,
14 Apr 2020,26,3,0,2,3,0,1,0,2,2,
15 Apr 2020,30,3,0,2,3,0,1,0,2,4,
16 Apr 2020,34,3,1,2,4,0,1,0,3,3,
17 Apr 2020,33,4,1,2,3,0,1,0,4,3,
18 Apr 2020,30,3,0,2,3,0,1,0,3,3,
19 Apr 2020,31,3,0,2,3,0,1,0,3,3,
20 Apr 2020,31,3,0,2,3,0,1,0,3,3,
21 Apr 2020,33,5,1,2,3,0,1,0,3,3,
22 Apr 2020,33,4,1,2,3,0,2,0,3,4,
23 Apr 2020,35,8,1,2,3,0,1,0,3,3,
24 Apr 2020,35,7,1,2,3,0,1,0,3,3,
25 Apr 2020,37,7,1,1,3,0,1,0,3,3,
26 Apr 2020,35,7,1,1,3,0,1,0,3,3,
27 Apr 2020,39,7,1,1,3,0,2,0,3,3,
28 Apr 2020,38,6,1,1,3,0,1,0,3,3,
29 Apr 2020,40,7,1,1,3,0,1,0,2,3,
30 Apr 2020,40,5,0,1,3,0,1,0,3,4,
1 Mei 2020,38,5,0,1,3,0,1,0,3,3,
2 Mei 2020,41,6,0,1,3,1,1,0,4,3,
3 Mei 2020,41,5,0,2,3,1,1,0,4,3,
4 Mei 2020,36,5,0,1,3,1,1,0,2,2,
5 Mei 2020,39,4,0,1,3,1,1,0,2,2,
6 Mei 2020,40,7,0,1,3,1,1,0,1,3,
7 Mei 2020,37,5,0,1,3,1,1,0,1,2,
8 Mei 2020,38,8,0,1,4,1,1,0,1,2,
9 Mei 2020,40,6,1,1,4,1,2,0,1,2,
10 Mei 2020,37,5,1,1,3,1,1,0,1,2,
11 Mei 2020,38,5,1,1,3,1,1,0,1,2,
12 Mei 2020,38,5,1,1,3,1,1,0,1,2,
13 Mei 2020,40,5,1,2,3,1,1,0,1,2,
14 Mei 2020,37,4,1,1,2,1,1,0,1,2,
15 Mei 2020,37,5,1,2,2,1,1,0,1,2,
16 Mei 2020,39,6,1,1,3,1,1,0,2,2,
17 Mei 2020,41,8,1,1,2,1,1,0,3,2,
18 Mei 2020,41,7,1,1,2,2,1,0,2,2,
19 Mei 2020,40,6,1,1,2,1,1,0,2,2,
20 Mei 2020,40,6,1,1,2,1,1,0,2,3,
21 Mei 2020,39,6,1,1,2,1,1,0,2,3,
22 Mei 2020,38,6,1,1,2,1,1,0,2,3,
23 Mei 2020,40,6,1,1,2,1,1,0,2,3,
24 Mei 2020,39,6,1,2,3,1,1,0,1,3,
25 Mei 2020,42,6,1,1,2,1,2,0,1,4,
26 Mei 2020,43,5,1,1,2,1,1,0,2,4,
27 Mei 2020,42,5,2,1,3,1,1,0,1,3,
28 Mei 2020,42,5,3,1,2,1,1,0,1,4,
29 Mei 2020,39,5,2,1,2,1,1,0,1,3,
30 Mei 2020,40,4,2,1,3,1,1,0,1,3,
31 Mei 2020,43,5,4,1,2,1,1,0,1,3,
1 Jun 2020,43,3,4,1,4,2,1,0,1,3,
2 Jun 2020,41,4,5,1,3,1,1,0,1,4,
3 Jun 2020,42,3,6,1,3,1,1,0,2,3,
4 Jun 2020,43,3,5,1,2,1,1,0,2,5,
5 Jun 2020,39,3,5,1,2,1,1,0,1,3,
6 Jun 2020,38,3,5,1,2,1,1,0,1,3,
7 Jun 2020,39,4,4,1,2,1,1,1,1,3,
8 Jun 2020,36,3,3,1,3,1,1,0,1,3,
9 Jun 2020,35,3,3,1,3,1,1,0,1,3,
10 Jun 2020,37,3,3,1,5,1,1,0,1,3,
11 Jun 2020,35,3,3,1,4,1,1,0,1,3,
12 Jun 2020,37,3,3,1,4,1,1,0,1,3,
13 Jun 2020,37,5,4,1,5,1,1,0,1,3,
14 Jun 2020,37,5,3,1,4,1,1,0,1,3,
15 Jun 2020,34,4,3,1,4,1,1,0,1,3,
16 Jun 2020,34,4,3,1,4,1,1,0,1,4,
17 Jun 2020,36,3,4,1,4,1,2,0,2,3,
18 Jun 2020,34,3,3,1,4,1,1,0,2,3,
19 Jun 2020,37,5,4,1,4,1,3,0,1,3,
20 Jun 2020,35,5,3,1,4,1,3,0,1,3,
21 Jun 2020,34,5,3,1,4,1,2,0,1,3,
22 Jun 2020,35,6,2,1,4,1,2,0,1,3,
23 Jun 2020,37,8,2,2,4,1,2,0,1,3,
24 Jun 2020,38,9,2,1,4,1,3,0,1,3,
25 Jun 2020,41,11,2,2,4,1,3,0,1,3,
26 Jun 2020,41,11,2,1,5,1,3,0,1,3,
27 Jun 2020,37,8,2,1,4,2,2,0,1,3,
28 Jun 2020,43,9,2,2,4,3,2,0,1,3,
29 Jun 2020,45,10,3,1,5,1,3,0,1,3,
30 Jun 2020,43,10,2,1,4,1,2,0,1,3,
1 Jul 2020,45,12,2,1,4,1,2,0,1,3,
2 Jul 2020,44,9,2,1,5,1,2,0,1,3,
3 Jul 2020,48,11,3,1,4,1,2,0,1,3,
4 Jul 2020,44,9,2,1,4,1,2,0,1,3,
5 Jul 2020,52,12,2,1,4,2,2,0,2,3,
6 Jul 2020,44,10,2,1,4,1,2,0,1,3,
7 Jul 2020,46,10,2,2,4,1,2,0,1,4,
8 Jul 2020,45,9,2,2,4,1,2,0,1,3,
9 Jul 2020,44,9,2,1,5,1,2,0,1,3,
10 Jul 2020,44,9,3,1,4,1,2,0,1,3,
11 Jul 2020,43,9,2,1,5,1,2,0,1,3,
12 Jul 2020,42,11,2,1,4,1,2,0,1,3,
13 Jul 2020,43,10,2,1,5,1,2,0,1,3,
14 Jul 2020,44,9,2,1,4,1,2,0,1,3,
15 Jul 2020,53,10,3,1,4,2,3,0,1,3,
16 Jul 2020,49,11,2,1,5,1,2,0,1,3,
17 Jul 2020,48,9,2,1,4,2,2,0,1,3,
18 Jul 2020,48,9,2,1,4,1,2,0,1,3,
19 Jul 2020,47,7,4,2,4,1,2,0,1,3,
20 Jul 2020,49,8,2,1,4,2,2,0,2,3,
21 Jul 2020,48,8,3,1,4,1,2,0,1,3,
22 Jul 2020,49,8,2,1,5,1,2,0,1,3,
23 Jul 2020,51,9,2,1,4,1,2,0,1,4,
24 Jul 2020,47,6,2,1,4,1,2,0,1,3,
25 Jul 2020,50,8,2,1,4,1,2,0,1,4,
26 Jul 2020,51,9,2,1,4,1,2,0,1,3,
27 Jul 2020,52,10,2,1,4,1,3,0,1,3,
28 Jul 2020,52,8,2,1,4,1,2,0,1,3,
29 Jul 2020,50,7,2,1,5,1,2,0,1,3,
30 Jul 2020,48,7,1,1,4,1,3,0,1,3,
31 Jul 2020,50,6,1,1,6,1,3,0,0,3,
1 Agu 2020,53,9,2,1,4,1,2,0,0,3,
2 Agu 2020,53,8,2,1,4,1,3,0,0,4,
3 Agu 2020,52,7,2,1,5,1,3,0,0,3,
4 Agu 2020,50,7,2,1,5,1,2,0,0,3,
5 Agu 2020,52,7,2,2,4,1,2,0,1,3,
6 Agu 2020,51,6,2,1,5,1,2,0,1,3,
7 Agu 2020,51,9,2,2,3,1,2,0,1,3,
8 Agu 2020,53,10,2,1,3,1,2,0,1,3,
9 Agu 2020,53,10,2,2,3,1,2,0,1,3,
10 Agu 2020,57,12,2,1,3,1,2,0,1,5,
11 Agu 2020,56,13,2,1,3,1,2,0,2,3,
12 Agu 2020,53,8,2,1,4,1,2,0,1,3,
13 Agu 2020,52,8,2,1,3,1,2,0,1,3,
14 Agu 2020,56,9,2,1,3,2,2,0,1,3,
15 Agu 2020,51,9,3,1,3,1,2,0,1,3,
16 Agu 2020,58,10,2,1,3,1,3,0,1,3,
17 Agu 2020,53,9,3,1,3,1,2,0,1,3,
18 Agu 2020,51,9,2,1,3,1,2,0,1,3,
19 Agu 2020,52,10,2,1,3,1,2,0,1,3,
20 Agu 2020,56,11,2,1,3,2,2,0,1,3,
21 Agu 2020,56,11,2,1,3,2,2,0,1,3,
22 Agu 2020,54,9,2,1,4,2,2,0,1,3,
23 Agu 2020,55,9,2,1,3,2,2,0,1,2,
24 Agu 2020,51,8,2,1,3,2,2,0,1,2,
25 Agu 2020,52,9,2,1,4,2,2,0,1,2,
26 Agu 2020,52,10,2,1,4,2,2,0,1,2,
27 Agu 2020,52,8,2,1,4,3,2,0,1,2,
28 Agu 2020,53,11,2,1,4,2,2,0,1,2,
29 Agu 2020,54,11,2,1,3,3,2,0,1,2,
30 Agu 2020,54,13,2,1,2,2,2,0,1,2,
31 Agu 2020,53,11,2,2,2,2,2,0,1,2,
1 Sep 2020,55,11,2,1,2,2,2,0,1,2,
2 Sep 2020,54,11,2,1,2,2,2,0,1,2,
3 Sep 2020,56,11,3,1,2,2,2,0,1,3,
