Tanggal,"Basis penginstalan (Semua perangkat, Perangkat unik, Per interval, Harian): Semua perangkat"
1 Jan 2020,2
2 Jan 2020,2
3 Jan 2020,2
4 Jan 2020,4
5 Jan 2020,4
6 Jan 2020,4
7 Jan 2020,4
8 Jan 2020,6
9 Jan 2020,6
10 Jan 2020,7
11 Jan 2020,7
12 Jan 2020,5
13 Jan 2020,5
14 Jan 2020,5
15 Jan 2020,5
16 Jan 2020,5
17 Jan 2020,5
18 Jan 2020,4
19 Jan 2020,4
20 Jan 2020,4
21 Jan 2020,7
22 Jan 2020,5
23 Jan 2020,6
24 Jan 2020,6
25 Jan 2020,6
26 Jan 2020,8
27 Jan 2020,7
28 Jan 2020,7
29 Jan 2020,7
30 Jan 2020,6
31 Jan 2020,6
1 Feb 2020,6
2 Feb 2020,6
3 Feb 2020,7
4 Feb 2020,8
5 Feb 2020,8
6 Feb 2020,9
7 Feb 2020,8
8 Feb 2020,9
9 Feb 2020,9
10 Feb 2020,9
11 Feb 2020,11
12 Feb 2020,10
13 Feb 2020,12
14 Feb 2020,13
15 Feb 2020,13
16 Feb 2020,15
17 Feb 2020,13
18 Feb 2020,12
19 Feb 2020,11
20 Feb 2020,13
21 Feb 2020,13
22 Feb 2020,13
23 Feb 2020,14
24 Feb 2020,10
25 Feb 2020,11
26 Feb 2020,10
27 Feb 2020,9
28 Feb 2020,12
29 Feb 2020,12
1 Mar 2020,12
2 Mar 2020,13
3 Mar 2020,13
4 Mar 2020,13
5 Mar 2020,13
6 Mar 2020,14
7 Mar 2020,14
8 Mar 2020,13
9 Mar 2020,14
10 Mar 2020,14
11 Mar 2020,15
12 Mar 2020,17
13 Mar 2020,18
14 Mar 2020,17
15 Mar 2020,17
16 Mar 2020,17
17 Mar 2020,18
18 Mar 2020,15
19 Mar 2020,18
20 Mar 2020,17
21 Mar 2020,16
22 Mar 2020,20
23 Mar 2020,23
24 Mar 2020,22
25 Mar 2020,23
26 Mar 2020,21
27 Mar 2020,23
28 Mar 2020,26
29 Mar 2020,25
30 Mar 2020,29
31 Mar 2020,27
1 Apr 2020,26
2 Apr 2020,24
3 Apr 2020,26
4 Apr 2020,24
5 Apr 2020,23
6 Apr 2020,23
7 Apr 2020,21
8 Apr 2020,23
9 Apr 2020,24
10 Apr 2020,24
11 Apr 2020,24
12 Apr 2020,26
13 Apr 2020,26
14 Apr 2020,26
15 Apr 2020,30
16 Apr 2020,34
17 Apr 2020,33
18 Apr 2020,30
19 Apr 2020,31
20 Apr 2020,31
21 Apr 2020,33
22 Apr 2020,33
23 Apr 2020,35
24 Apr 2020,35
25 Apr 2020,37
26 Apr 2020,35
27 Apr 2020,39
28 Apr 2020,38
29 Apr 2020,40
30 Apr 2020,40
1 Mei 2020,38
2 Mei 2020,41
3 Mei 2020,41
4 Mei 2020,36
5 Mei 2020,39
6 Mei 2020,40
7 Mei 2020,37
8 Mei 2020,38
9 Mei 2020,40
10 Mei 2020,37
11 Mei 2020,38
12 Mei 2020,38
13 Mei 2020,40
14 Mei 2020,37
15 Mei 2020,37
16 Mei 2020,39
17 Mei 2020,41
18 Mei 2020,41
19 Mei 2020,40
20 Mei 2020,40
21 Mei 2020,39
22 Mei 2020,38
23 Mei 2020,40
24 Mei 2020,39
25 Mei 2020,42
26 Mei 2020,43
27 Mei 2020,42
28 Mei 2020,42
29 Mei 2020,39
30 Mei 2020,40
31 Mei 2020,43
1 Jun 2020,43
2 Jun 2020,41
3 Jun 2020,42
4 Jun 2020,43
5 Jun 2020,39
6 Jun 2020,38
7 Jun 2020,39
8 Jun 2020,36
9 Jun 2020,35
10 Jun 2020,37
11 Jun 2020,35
12 Jun 2020,37
13 Jun 2020,37
14 Jun 2020,37
15 Jun 2020,34
16 Jun 2020,34
17 Jun 2020,36
18 Jun 2020,34
19 Jun 2020,37
20 Jun 2020,35
21 Jun 2020,34
22 Jun 2020,35
23 Jun 2020,37
24 Jun 2020,38
25 Jun 2020,41
26 Jun 2020,41
27 Jun 2020,37
28 Jun 2020,43
29 Jun 2020,45
30 Jun 2020,43
1 Jul 2020,45
2 Jul 2020,44
3 Jul 2020,48
4 Jul 2020,44
5 Jul 2020,52
6 Jul 2020,44
7 Jul 2020,46
8 Jul 2020,45
9 Jul 2020,44
10 Jul 2020,44
11 Jul 2020,43
12 Jul 2020,42
13 Jul 2020,43
14 Jul 2020,44
15 Jul 2020,53
16 Jul 2020,49
17 Jul 2020,48
18 Jul 2020,48
19 Jul 2020,47
20 Jul 2020,49
21 Jul 2020,48
22 Jul 2020,49
23 Jul 2020,51
24 Jul 2020,47
25 Jul 2020,50
26 Jul 2020,51
27 Jul 2020,52
28 Jul 2020,52
29 Jul 2020,50
30 Jul 2020,48
31 Jul 2020,50
1 Agu 2020,53
2 Agu 2020,53
3 Agu 2020,52
4 Agu 2020,50
5 Agu 2020,52
6 Agu 2020,51
7 Agu 2020,51
8 Agu 2020,53
9 Agu 2020,53
10 Agu 2020,57
11 Agu 2020,56
12 Agu 2020,53
13 Agu 2020,52
14 Agu 2020,56
15 Agu 2020,51
16 Agu 2020,58
17 Agu 2020,53
18 Agu 2020,51
19 Agu 2020,52
20 Agu 2020,56
21 Agu 2020,56
22 Agu 2020,54
23 Agu 2020,55
24 Agu 2020,51
25 Agu 2020,52
26 Agu 2020,52
27 Agu 2020,52
28 Agu 2020,53
29 Agu 2020,54
30 Agu 2020,54
31 Agu 2020,53
1 Sep 2020,55
2 Sep 2020,54
3 Sep 2020,56
4 Sep 2020,55
5 Sep 2020,61
6 Sep 2020,55
7 Sep 2020,56
8 Sep 2020,57
9 Sep 2020,55
10 Sep 2020,57
11 Sep 2020,57
12 Sep 2020,56
13 Sep 2020,59
14 Sep 2020,55
15 Sep 2020,57
16 Sep 2020,57
17 Sep 2020,56
18 Sep 2020,58
19 Sep 2020,58
20 Sep 2020,53
21 Sep 2020,51
22 Sep 2020,53
23 Sep 2020,55
24 Sep 2020,57
25 Sep 2020,57
26 Sep 2020,58
27 Sep 2020,58
28 Sep 2020,57
29 Sep 2020,59
30 Sep 2020,58
1 Okt 2020,58
2 Okt 2020,54
3 Okt 2020,60
4 Okt 2020,57
5 Okt 2020,60
6 Okt 2020,59
7 Okt 2020,57
8 Okt 2020,61
9 Okt 2020,61
10 Okt 2020,63
11 Okt 2020,60
12 Okt 2020,63
13 Okt 2020,59
14 Okt 2020,60
15 Okt 2020,55
16 Okt 2020,61
17 Okt 2020,60
18 Okt 2020,62
19 Okt 2020,61
20 Okt 2020,55
21 Okt 2020,61
22 Okt 2020,57
23 Okt 2020,57
24 Okt 2020,59
25 Okt 2020,58
26 Okt 2020,57
27 Okt 2020,56
28 Okt 2020,59
29 Okt 2020,55
30 Okt 2020,59
31 Okt 2020,61
1 Nov 2020,58
2 Nov 2020,55
3 Nov 2020,51
4 Nov 2020,51
5 Nov 2020,47
6 Nov 2020,49
7 Nov 2020,50
8 Nov 2020,47
9 Nov 2020,50
10 Nov 2020,50
11 Nov 2020,51
12 Nov 2020,51
13 Nov 2020,50
14 Nov 2020,53
15 Nov 2020,50
16 Nov 2020,49
17 Nov 2020,51
18 Nov 2020,50
19 Nov 2020,51
20 Nov 2020,50
21 Nov 2020,49
22 Nov 2020,51
23 Nov 2020,55
24 Nov 2020,52
25 Nov 2020,56
26 Nov 2020,51
27 Nov 2020,49
28 Nov 2020,48
29 Nov 2020,49
30 Nov 2020,55
1 Des 2020,50
2 Des 2020,51
3 Des 2020,53
4 Des 2020,55
5 Des 2020,53
6 Des 2020,49
7 Des 2020,49
8 Des 2020,53
9 Des 2020,53
10 Des 2020,53
11 Des 2020,53
12 Des 2020,51
13 Des 2020,52
14 Des 2020,49
15 Des 2020,51
16 Des 2020,55
17 Des 2020,58
18 Des 2020,51
19 Des 2020,54
20 Des 2020,50
21 Des 2020,49
22 Des 2020,52
23 Des 2020,51
24 Des 2020,46
25 Des 2020,52
26 Des 2020,53
27 Des 2020,50
28 Des 2020,53
29 Des 2020,52
30 Des 2020,57
31 Des 2020,55
1 Jan 2021,54
2 Jan 2021,54
3 Jan 2021,56
4 Jan 2021,58
5 Jan 2021,55
6 Jan 2021,56
7 Jan 2021,61
8 Jan 2021,61
9 Jan 2021,66
10 Jan 2021,60
11 Jan 2021,65
12 Jan 2021,61
13 Jan 2021,62
14 Jan 2021,62
15 Jan 2021,60
16 Jan 2021,62
17 Jan 2021,71
18 Jan 2021,65
19 Jan 2021,69
20 Jan 2021,71
21 Jan 2021,66
22 Jan 2021,66
23 Jan 2021,65
24 Jan 2021,69
25 Jan 2021,67
26 Jan 2021,68
27 Jan 2021,68
28 Jan 2021,65
29 Jan 2021,69
30 Jan 2021,66
31 Jan 2021,71
1 Feb 2021,69
2 Feb 2021,70
3 Feb 2021,72
4 Feb 2021,71
5 Feb 2021,70
6 Feb 2021,71
7 Feb 2021,65
8 Feb 2021,64
9 Feb 2021,70
10 Feb 2021,70
11 Feb 2021,68
12 Feb 2021,69
13 Feb 2021,71
14 Feb 2021,68
15 Feb 2021,70
16 Feb 2021,68
17 Feb 2021,73
18 Feb 2021,73
19 Feb 2021,71
20 Feb 2021,70
21 Feb 2021,71
22 Feb 2021,70
23 Feb 2021,74
24 Feb 2021,72
25 Feb 2021,70
26 Feb 2021,75
27 Feb 2021,71
28 Feb 2021,75
1 Mar 2021,74
2 Mar 2021,77
3 Mar 2021,74
4 Mar 2021,74
5 Mar 2021,72
6 Mar 2021,79
7 Mar 2021,76
8 Mar 2021,76
9 Mar 2021,81
10 Mar 2021,74
11 Mar 2021,75
12 Mar 2021,81
13 Mar 2021,71
14 Mar 2021,75
15 Mar 2021,77
16 Mar 2021,77
17 Mar 2021,80
18 Mar 2021,81
19 Mar 2021,71
20 Mar 2021,78
21 Mar 2021,74
22 Mar 2021,78
23 Mar 2021,79
24 Mar 2021,74
25 Mar 2021,76
26 Mar 2021,71
27 Mar 2021,72
28 Mar 2021,67
29 Mar 2021,74
30 Mar 2021,67
31 Mar 2021,72
1 Apr 2021,66
2 Apr 2021,63
3 Apr 2021,70
4 Apr 2021,70
5 Apr 2021,77
6 Apr 2021,73
7 Apr 2021,72
8 Apr 2021,70
9 Apr 2021,71
10 Apr 2021,66
11 Apr 2021,70
12 Apr 2021,69
13 Apr 2021,74
14 Apr 2021,71
15 Apr 2021,73
16 Apr 2021,71
17 Apr 2021,76
18 Apr 2021,73
19 Apr 2021,77
20 Apr 2021,73
21 Apr 2021,81
22 Apr 2021,75
23 Apr 2021,77
24 Apr 2021,75
25 Apr 2021,81
26 Apr 2021,85
27 Apr 2021,81
28 Apr 2021,82
29 Apr 2021,85
30 Apr 2021,78
1 Mei 2021,83
2 Mei 2021,84
3 Mei 2021,77
